T+037.14s OUT EP0 len=272 : 08010018ed038010006100046503000000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093
T+037.14s OUT EP0 len=272 : 08010018ed0380100062000465030000c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542035000ec205ca42f000000b020c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000093
T+037.14s OUT EP0 len=272 : 08010018ed038010006300046503000018c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c0
T+037.14s OUT EP0 len=272 : 08010018ed038010006400046503000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292
T+037.14s OUT EP0 len=272 : 08010018ed0380100065000465030000c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542036000ec205ca42f000000b020c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2
T+037.14s OUT EP0 len=272 : 08010018ed038010006600046503000097000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240
T+037.14s OUT EP0 len=272 : 08010018ed0380100067000465030000c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542037000ec205ca42f000000b02
T+037.14s OUT EP0 len=272 : 08010018ed03801000680004650300000c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c2
T+037.14s OUT EP0 len=272 : 08010018ed038010006900046503000018ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c2
T+037.14s OUT EP0 len=240 : e7000018ed038010006a00046503000040c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542038000ec205ca42f000000b020c000ddc0028c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c2
